gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
SNAPIN	ID_155	30	0.00	0.11	0.53	0.26	0.38	0.35	1.05
S100A4	ID_156	35	0.00	0.32	-0.92	1.08	0.74	2.26	1.97
S100A6	ID_159	39	0.00	-0.49	0.53	0.28	0.59	1.48	1.09
ICAM2	ID_161	16	0.00	-0.54	0.06	-0.07	-0.31	-0.26	-2.46
MAPK7	ID_162	44	0.00	0.22	0.31	0.38	0.02	-1.97	-1.33
EPN2	ID_163	49	0.00	0.94	1.61	1.68	1.81	1.43	2.48
B9D1	ID_164	10	0.00	-0.20	-1.38	-1.19	-1.04	-1.29	-1.68
SEC24B	ID_165	27	0.00	0.24	0.66	0.53	0.15	-0.66	0.76
N4BP3	ID_166	17	0.00	-1.25	0.31	0.51	0.97	-0.62	-0.39
RMND5B	ID_167	49	0.00	1.01	1.82	1.49	1.73	1.80	2.03
NHP2	ID_168	20	0.00	-0.69	-1.50	-1.23	-1.09	-1.19	-1.70
VPS9D1	ID_169	49	0.00	0.93	2.12	1.82	2.22	1.87	2.06
ZFP276	ID_170	41	0.00	0.18	0.01	0.44	0.51	-0.08	-0.20
C1QL4	ID_171	47	0.00	4.06	4.88	3.34	3.53	1.63	-¡Þ
MFSD10	ID_172	17	0.00	-0.01	0.09	0.19	0.25	-1.06	-0.60
LUZP1	ID_173	11	0.00	-0.80	-1.03	-1.48	-2.13	-0.36	0.49
KCTD10	ID_175	44	0.00	0.33	0.17	0.07	-0.12	-0.85	-0.63
POLDIP2	ID_176	48	0.00	0.43	0.61	0.86	1.03	1.01	0.67
IFT20	ID_178	39	0.00	0.15	-0.05	0.32	0.89	1.04	0.45
COL6A1	ID_179	17	0.00	0.84	1.69	2.01	1.12	-1.06	0.64
PCBP3	ID_180	39	0.00	0.22	0.66	0.75	0.85	0.87	0.93
LGALS9	ID_181	49	0.00	1.84	3.10	2.86	3.43	3.05	2.87
ARAF	ID_182	49	0.00	0.91	1.78	1.87	2.21	2.33	1.67
CFP	ID_183	44	0.00	0.69	1.03	0.17	-0.39	-1.91	0.34
TIMP1	ID_184	17	0.00	-0.97	-0.64	-0.33	-1.49	-4.72	-3.16
UXT	ID_185	10	0.00	-0.21	-1.28	-1.21	-1.42	-1.46	-2.11
CNNM3	ID_186	36	0.00	0.78	0.73	1.45	0.47	-0.10	0.97
LMAN2L	ID_187	48	0.00	0.44	0.73	0.40	0.33	0.63	0.25
MCM3AP	ID_188	17	0.00	0.05	0.30	0.14	-0.08	-1.09	0.05
PCNT	ID_189	5	0.00	-0.89	-0.78	-1.85	-3.14	-2.43	-0.29
MXD1	ID_191	40	0.00	1.67	1.96	1.54	0.54	0.79	1.69
GMCL1	ID_192	44	0.00	0.76	0.70	0.57	-0.66	-1.33	-0.77
SNRNP27	ID_193	10	0.00	0.08	-0.67	-0.55	-0.49	-0.64	-1.19
OCRL	ID_196	49	0.00	0.64	1.62	1.31	1.33	0.53	1.36
CALM1	ID_197	39	0.00	0.18	0.22	0.29	0.49	1.29	1.49
AGPAT3	ID_198	39	0.00	0.91	1.10	1.47	1.71	2.60	2.37
SEMA6B	ID_199	49	0.00	2.39	4.12	4.14	4.39	4.65	5.03
UHRF1	ID_200	10	0.00	-0.86	-2.69	-2.92	-4.89	-9.20	-7.65
DPP9	ID_201	30	0.00	-0.03	0.15	-0.25	-0.38	-0.05	0.50
RAMP2	ID_202	16	0.00	-0.15	0.41	0.35	0.57	0.17	-0.49
LSR	ID_203	10	0.00	-0.22	-0.58	-0.21	-0.51	-1.70	-3.14
GRAMD1A	ID_204	41	0.00	1.32	1.76	1.81	1.64	0.36	0.87
HPN	ID_205	24	0.00	-0.16	0.40		2.47	0.41	1.97
GABRG1	ID_206	49	0.00	1.16	4.65	5.05	5.68	4.77	4.82
CKB	ID_207	39	0.00	0.50	0.22	0.18	0.65	1.62	1.73
SP1	ID_208	10	0.00	-0.40	-0.76	-1.64	-2.63	-3.95	-1.63
MYG1	ID_210	10	0.00	-0.46	-0.94	-0.90	-1.02	-1.29	-0.96
RARG	ID_211	2	0.00	-1.49	-1.27	-1.33	-1.47	-1.61	-1.52
EFNB2	ID_213	44	0.00	0.83	0.05	0.64	-0.37	-1.20	-0.57
RRP15	ID_214	10	0.00	-0.87	-1.23	-1.61	-2.76	-2.71	-2.68
RND2	ID_215	48	0.00	1.87	0.88	1.36	1.60	2.34	0.86
SRR	ID_216	39	0.00	1.26	1.75	1.90	1.49	2.49	2.85
SYNC	ID_217	49	0.00	-0.16	2.40	1.40	3.06	0.41	1.97
FNDC5	ID_218	39	0.00	1.42	4.83	4.99	5.47	7.68	7.17
ACP5	ID_219	0	0.00	-3.64	-4.08	-1.83	-3.68	-3.48	-¡Þ
CNN1	ID_220	3	0.00	-2.75	-2.19	-1.60	-2.11	-3.17	-¡Þ
FBXO9	ID_221	39	0.00	0.37	1.62	1.80	2.58	2.78	2.30
VPS50	ID_222	35	0.00	0.09	-0.55	0.20	-0.03	0.37	0.47
HARS1	ID_223	18	0.00	0.10	0.26	0.37	0.57	0.70	0.12
ZMAT2	ID_224	25	0.00	-0.15	-0.40	-0.37	-0.72	0.58	0.83
UBE2C	ID_225	10	0.00	-0.60	-2.34	-2.66	-3.19	-7.65	-7.83
SMG5	ID_226	32	0.00	0.40	-0.01	0.09	0.18	-0.16	0.35
CCT3	ID_227	10	0.00	-0.52	-1.11	-0.95	-1.11	-2.00	-2.16
GLMP	ID_228	39	0.00	-0.35	0.21	0.25	0.01	0.71	0.61
MEF2D	ID_229	39	0.00	1.01	1.57	1.70	1.98	2.58	3.53
SND1	ID_231	26	0.00	-0.15	0.08	-0.02	0.14	-0.67	-0.09
COL18A1	ID_232	10	0.00	-1.16	-1.19	-2.07	-2.79	-5.44	-7.20
SLC19A1	ID_233	41	0.00	0.15	0.62	0.91	0.91	0.38	-0.03
KPNB1	ID_234	10	0.00	-0.62	-1.04	-1.26	-1.89	-2.40	-1.80
NPEPPS	ID_235	49	0.00	0.57	1.33	0.75	0.78	0.15	1.02
MRPL10	ID_237	6	0.00	-0.38	-0.29	-0.71	-0.29	0.05	-0.15
CYP51	ID_238	16	0.00	0.07	-0.08	0.17	-0.10	-1.09	-2.04
TCF25	ID_239	39	0.00	0.66	1.38	1.47	1.83	2.31	2.29
