gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
DNAJC7	ID_1401	17	0.00	-0.02	0.20	0.01	-0.16	-0.87	-0.08
CACYBP	ID_1402	10	0.00	-0.18	-0.64	-0.60	-0.23	-0.77	-1.35
CLUAP1	ID_1403	41	0.00	0.53	0.77	0.79	0.98	0.07	0.35
ZSWIM7	ID_1404	22	0.00	-0.08	-0.64	0.24	0.55	1.20	0.40
PIGL	ID_1405	44	0.00	0.25	0.14	0.14	-0.11	-0.59	-0.62
NDUFA2	ID_1406	22	0.00	-0.08	-0.64	-0.61	-0.21	0.40	-0.07
PAM16	ID_1407	48	0.00	0.34	0.55	0.72	0.89	0.88	0.10
GLIS2	ID_1408	10	0.00	0.00	-0.19	-0.13	-1.01	-1.89	-1.26
COX6C	ID_1409	22	0.00	0.05	-0.05	-0.01	0.36	1.26	0.41
BICC1	ID_1410	17	0.00	0.24	0.71	0.40	0.15	-0.77	-0.87
UBE2Z	ID_1411	37	0.00	0.34	0.59	0.80	1.13	0.52	0.54
TMEM87B	ID_1413	36	0.00	0.61	0.48	0.73	0.33	-0.05	0.50
ANAPC1	ID_1414	10	0.00	0.05	0.26	0.08	-0.63	-1.69	-1.25
MERTK	ID_1415	9	0.00	-2.48	-0.22	-0.75	-1.04	0.79	2.04
TSG101	ID_1416	47	0.00	0.59	0.51	0.54	0.30	-0.39	-0.81
HPS5	ID_1417	27	0.00	-0.25	-0.07	0.31	-0.31	-1.91	0.23
MAP3K4	ID_1418	30	0.00	0.06	0.52	-0.14	-0.35	-0.54	0.45
PIEZO1	ID_1419	10	0.00	-0.81	-0.00	-0.74	-0.76	-1.46	-2.49
RNF166	ID_1421	23	0.00	0.02	-0.11	0.51	0.22	0.37	0.85
ANKRD28	ID_1422	27	0.00	0.32	0.33	0.62	-0.03	-0.03	0.61
ANKRD52	ID_1423	21	0.00	-0.16	-0.12	-1.33	-0.04	-1.91	-0.03
SRP19	ID_1425	0	0.00	-0.37	-0.49	-0.33	-0.72	-0.21	-0.47
WDFY2	ID_1429	27	0.00	0.23	0.38	0.07	-1.07	-1.42	0.09
RBSN	ID_1430	40	0.00	0.78	1.06	0.97	0.37	0.47	0.81
MRPS25	ID_1431	23	0.00	-0.14	-1.02	-0.33	-0.45	-0.06	0.13
DGUOK	ID_1432	17	0.00	0.17	0.42	0.37	0.37	-0.33	-0.05
CAMTA1	ID_1433	49	0.00	0.45	1.53	1.40	1.21	0.78	1.77
CSF1	ID_1434	19	0.00	-1.41	0.91	0.68	0.40	0.41	1.18
STRIP1	ID_1435	41	0.00	0.87	1.38	1.31	1.34	0.05	0.34
KIF1A	ID_1436	49	0.00	2.20	4.33	3.87	3.64	3.65	4.95
SLC25A11	ID_1438	39	0.00	0.13	0.20	0.49	0.78	1.09	0.80
CMC2	ID_1440	12	0.00	-0.57	-1.50	-1.67	-2.06	-1.33	-1.04
CHFR	ID_1441	44	0.00	0.64	0.71	0.84	0.39	-0.83	-0.43
TEX261	ID_1445	10	0.00	-0.04	-0.27	-0.00	-0.26	-0.80	-0.50
FAM120B	ID_1446	40	0.00	0.70	0.97	0.90	0.33	0.52	0.62
TBP	ID_1447	10	0.00	-0.23	-0.72	-0.92	-0.81	-1.60	-1.62
PSMB1	ID_1448	34	0.00	-0.07	-0.59	-0.45	-0.22	-0.42	-1.07
PDCD2	ID_1449	44	0.00	0.13	0.15	0.13	0.16	-0.92	-0.86
DLL1	ID_1450	10	0.00	0.54	-0.65	-1.42	-1.98	-4.19	-2.98
NOL3	ID_1451	39	0.00	1.20	0.59	1.30	2.06	3.79	3.68
FHOD1	ID_1452	21	0.00	-1.75	-1.63	-3.09	-2.43	-3.08	-2.53
PLEKHG4	ID_1453	19	0.00	-0.90	0.40	0.67	0.15	-0.33	-¡Þ
SLC9A5	ID_1454	19	0.00	-0.07	1.03	1.12	1.07	0.70	1.14
ELMO3	ID_1455	34	0.00	0.32	-0.34	0.08	-0.26	0.67	-1.36
STC1	ID_1456	49	0.00	0.42	2.86	2.40	1.80	2.00	1.97
MATCAP1	ID_1457	41	0.00	1.86	3.22	3.05	2.86	-0.64	-0.39
TPPP3	ID_1458	18	0.00	-0.26	1.02	1.09	1.89	1.49	1.02
MSH3	ID_1459	10	0.00	-0.44	-0.19	-0.63	-0.71	-1.12	-0.95
TMEM208	ID_1461	16	0.00	0.28	0.17	0.51	0.78	0.56	-0.31
E2F4	ID_1462	10	0.00	-0.26	-0.72	-0.91	-0.89	-1.42	-1.22
SURF4	ID_1463	10	0.00	-0.29	-0.45	-0.34	-0.74	-1.31	-1.15
DNAJB9	ID_1465	39	0.00	0.78	0.78	1.20	0.85	1.98	1.25
NAF1	ID_1466	12	0.00	-0.16	-0.41	-0.51	-1.13	-0.81	0.12
YES1	ID_1467	10	0.00	0.03	-0.54	-0.61	-1.24	-2.26	-1.79
PPP1CB	ID_1468	27	0.00	0.14	-0.08	-0.17	-0.52	-0.61	0.13
GORASP2	ID_1469	18	0.00	-0.04	0.40	0.40	0.48	0.46	0.35
TSEN15	ID_1470	20	0.00	-0.68	-1.15	-1.03	-0.66	-1.05	-0.77
EFR3A	ID_1471	25	0.00	-0.19	-0.15	-0.28	-0.35	1.24	2.21
TRAPPC2L	ID_1472	48	0.00	0.81	1.16	1.27	1.37	1.54	0.89
ACSF3	ID_1473	19	0.00	-0.13	0.30	0.40	0.06	-0.00	0.31
DDX19A	ID_1474	10	0.00	-0.15	-0.36	-0.36	-1.01	-1.86	-1.64
GALNS	ID_1475	18	0.00	-0.79	0.48	0.48	1.74	0.72	-0.12
GATA2	ID_1476	47	0.00	1.04	1.16	0.54	-0.53	-1.10	-1.77
C8G	ID_1477	29	0.00	0.32	0.40	-0.33	0.96	1.09	0.23
RABL6	ID_1479	25	0.00	-0.04	-0.18	-0.03	-0.07	0.93	1.11
PTGDS	ID_1480	39	0.00	3.30	9.21	10.61	11.64	12.56	13.02
EDF1	ID_1481	48	0.00	0.09	0.34	0.36	0.33	0.78	0.34
NPDC1	ID_1483	49	0.00	2.33	3.28	3.38	3.64	3.40	3.31
FBXW5	ID_1484	49	0.00	0.78	1.42	1.37	1.03	1.20	1.88
SLC25A13	ID_1485	21	0.00	-1.50	-3.09	-3.80	-3.28	-4.66	-3.11
UBE2I	ID_1486	10	0.00	0.13	0.07	-0.01	-0.16	-0.77	-0.71
TSR3	ID_1487	1	0.00	-0.11	-0.57	-0.08	0.15	-0.46	-0.71
UNKL	ID_1488	39	0.00	0.38	1.71	1.40	1.61	1.70	2.08
LRRK1	ID_1489	3	0.00	-0.38	-0.41	0.60	-0.01	-0.81	0.16
ALDH1A3	ID_1490	2	0.00	-1.10	-1.12	-1.80	-0.59	-0.79	-¡Þ
ACTN1	ID_1491	11	0.00	-1.00	-1.05	-1.40	-1.77	-0.65	0.09
SIRT2	ID_1492	39	0.00	0.70	1.48	1.71	1.88	3.14	2.42
HNRNPL	ID_1493	10	0.00	0.05	-0.47	-0.33	-1.10	-2.14	-0.97
NOLC1	ID_1494	3	0.00	-0.44	-0.22	-0.20	-0.53	-1.28	-0.35
CASD1	ID_1495	17	0.00	0.08	0.33	0.19	0.23	-0.19	0.19
CNKSR3	ID_1496	11	0.00	-1.16	-1.04	-1.80	-1.35	-0.21	-0.65
MTMR1	ID_1497	49	0.00	1.68	2.07	1.95	1.22	1.63	2.27
HMGB3	ID_1498	10	0.00	-0.09	-0.41	-0.61	-0.62	-3.41	-3.93
MAP2	ID_1499	49	0.00	2.01	2.73	2.33	1.93	0.97	2.42
ABCA1	ID_1502	17	0.00	0.64	1.97	1.63	1.57	-0.47	0.79
NIPSNAP3B	ID_1503	16	0.00	0.52	1.02	1.08	0.92	-1.44	-1.54
LAGE3	ID_1504	10	0.00	-0.22	-1.33	-1.00	-1.19	-1.34	-1.85
UBL4A	ID_1505	22	0.00	0.22	-0.07	0.21	0.43	1.08	0.61
GDI1	ID_1506	49	0.00	1.55	2.44	2.13	2.07	2.11	2.27
SASH1	ID_1507	19	0.00	-0.27	0.72	0.82	0.55	0.28	0.80
GADD45B	ID_1508	39	0.00	-0.09	-0.04	0.48	0.23	2.45	1.52
ZDHHC12	ID_1511	1	0.00	-0.39	-0.90	-0.41	0.29	-0.67	-0.92
ENDOG	ID_1512	39	0.00	-0.47	0.33	0.65	1.20	1.71	1.41
GOLGA7	ID_1514	22	0.00	0.20	-0.30	-0.21	-0.13	0.28	-0.33
XK	ID_1515	39	0.00	0.42	1.40	0.72	0.98	1.29	2.19
PCOLCE2	ID_1516	39	0.00	0.32	0.88	0.89	0.74	1.09	2.23
CLPX	ID_1518	33	0.00	0.30	0.02	0.52	0.04	0.50	0.23
TRABD	ID_1519	10	0.00	0.22	-0.25	-0.13	-0.51	-1.53	-1.44
DENND6B	ID_1521	49	0.00	0.93	1.96	1.64	1.65	1.10	1.54
CD83	ID_1522	39	0.00	0.35	2.21	2.27	3.21	3.03	2.41
AGER	ID_1529	47	0.00	0.30	2.44	-1.01	-0.94		-2.03
ATF6B	ID_1530	49	0.00	0.48	0.65	0.47	0.65	0.27	0.22
EGFL8	ID_1531	47	0.00	0.84	1.54	1.47	1.15	1.41	-0.36
NOTCH4	ID_1532	10	0.00	-0.16	-0.42	-0.70	-0.30	-1.41	-1.48
PPT2	ID_1533	46	0.00	0.55	0.57	-0.03	0.09	0.56	0.05
PRRT1	ID_1534	39	0.00	4.45	5.57	5.38	6.13	7.67	8.84
RNF5	ID_1535	47	0.00	0.48	0.54	0.23	0.16	-0.13	-0.22
FAM163A	ID_1536	46	0.00	0.75	1.57	-0.28	-0.53	0.87	1.14
CACFD1	ID_1537	49	0.00	1.14	1.79	1.30	1.32	0.50	0.80
HIVEP2	ID_1538	39	0.00	1.27	3.10	4.00	2.85	4.60	5.96
ARNT	ID_1539	21	0.00	-0.04	0.18	-0.64	-1.13	-1.91	0.16
MOCS2	ID_1541	35	0.00	0.34	-0.03	0.50	0.50	0.54	0.04
NAT9	ID_1542	39	0.00	-0.05	-0.10	0.16	0.45	0.65	1.29
ATP6V0E	ID_1544	34	0.00	0.50	-0.50	0.10	0.02	0.08	-0.69
ZFP318	ID_1546	41	0.00	0.45	1.31	1.10	0.75	0.15	0.57
TTBK1	ID_1547	49	0.00	2.46	3.15	2.56	2.27	2.46	4.07
GATA3	ID_1549	44	0.00	1.77	2.91	1.05	0.56	-2.59	-¡Þ
LAMA5	ID_1551	12	0.00	-1.63	-2.66	-0.43	-2.58	-1.65	-0.51
STEAP1	ID_1552	12	0.00	-1.30	-3.06	-2.06	-2.99	-1.73	-0.91
STEAP2	ID_1553	39	0.00	-0.38	0.91	0.60	1.13	2.06	2.25
HSPA8	ID_1554	2	0.00	-0.45	-0.62	-0.62	-0.59	-0.32	-0.65
SERAC1	ID_1555	49	0.00	1.16	1.84	1.59	0.95	0.88	2.00
PDZD11	ID_1556	10	0.00	0.13	-0.51	-0.67	-0.76	-0.53	-0.75
PSMA2	ID_1557	10	0.00	-0.10	-0.71	-0.58	-0.59	-0.75	-1.47
MRPL32	ID_1558	10	0.00	0.00	-0.73	-0.68	-0.75	-0.89	-1.56
SETDB1	ID_1559	44	0.00	0.29	0.18	-0.09	-0.21	-1.61	-0.80
ARNT2	ID_1561	49	0.00	1.58	2.51	2.25	1.84	1.38	2.31
PRUNE1	ID_1562	41	0.00	0.88	1.68	1.70	1.99	0.28	0.17
CERS2	ID_1563	25	0.00	-0.04	-0.17	-0.06	-0.04	0.81	0.68
CAPZA2	ID_1565	25	0.00	0.19	0.01	-0.05	-0.22	0.35	0.76
PLEKHO1	ID_1566	10	0.00	0.39	-0.08	-0.24	-0.33	-0.71	-0.99
VPS45	ID_1567	49	0.00	0.74	0.91	1.37	1.34	1.05	0.90
PRPF3	ID_1568	10	0.00	-0.54	-1.16	-1.15	-1.62	-2.34	-2.20
ANP32E	ID_1569	10	0.00	-0.57	-1.32	-1.61	-2.09	-3.09	-1.85
APH1A	ID_1570	44	0.00	0.43	0.58	0.67	0.29	-0.35	0.22
TAB2	ID_1571	10	0.00	-0.08	0.15	-0.05	-0.31	-0.86	-0.89
PPIL4	ID_1572	44	0.00	0.18	0.27	0.27	-0.28	-1.13	-0.24
EPS8	ID_1574	39	0.00	0.52	2.40	2.37	3.26	3.28	3.04
MED22	ID_1575	16	0.00	0.56	0.43	0.45	0.77	-0.31	-0.62
SURF1	ID_1576	39	0.00	0.67	0.84	1.04	1.44	1.67	1.57
MED28	ID_1577	20	0.00	0.11	-0.51	-0.27	-0.18	-0.18	-0.57
QDPR	ID_1578	39	0.00	-0.16	-0.08	0.19	0.71	1.89	2.12
SQSTM1	ID_1580	39	0.00	0.83	1.46	1.66	2.24	2.88	2.55
NFE2L2	ID_1581	12	0.00	-0.94	-1.17	-0.91	-1.60	-0.62	-0.76
RXRG	ID_1582	18	0.00	0.84	2.57	4.49	4.64	3.62	2.42
RXRA	ID_1583	12	0.00	-0.03	-0.54	-0.76	-1.30	-0.89	-0.45
FCRL2	ID_1585	39	0.00	0.66	0.76	1.22	1.75	2.46	2.16
PRPSAP1	ID_1587	44	0.00	0.24	0.41	0.33	0.30	-0.69	-0.52
FAM184B	ID_1588	49	0.00	0.84	2.47	3.03	3.71	1.55	2.10
NCAPG	ID_1589	10	0.00	-0.55	-3.05	-3.19	-3.33	-6.04	-7.49
LCORL	ID_1590	44	0.00	1.46	1.63	1.35	0.82	-0.16	0.51
LTA4H	ID_1591	10	0.00	-0.15	-0.51	-0.67	-0.85	-1.51	-0.94
DSTN	ID_1593	44	0.00	0.26	-0.04	0.12	-0.09	-0.50	-0.54
MACROH2A1	ID_1594	10	0.00	0.14	-0.52	-0.91	-1.17	-1.87	-1.76
GTF2IRD2	ID_1595	49	0.00	1.11	1.70	1.24	1.50	0.29	0.97
BOLA1	ID_1596	34	0.00	-0.05	-0.62	-0.27	-0.01	-0.37	-0.84
CASTOR2	ID_1597	49	0.00	2.04	2.76	2.44	2.27	2.20	3.58
FCGR1	ID_1598	46	0.00	0.32	0.66	-0.92	0.15	1.79	1.23
NCF1	ID_1599	39	0.00	0.69	1.40	0.67	1.32	2.18	1.81
ADSS2	ID_1601	17	0.00	-0.52	-0.32	-0.06	-0.13	-0.90	-0.71
CACNA1D	ID_1604	49	0.00	1.58	4.34	3.46	3.64	2.83	4.29
ACTR8	ID_1606	33	0.00	0.09	-0.41	0.05	-0.07	0.38	-0.31
LRRC27	ID_1607	46	0.00	0.45	0.48	-0.69	0.39	0.32	0.20
STK32C	ID_1608	39	0.00	0.42	3.65	4.05	3.80	5.66	5.75
FNTA	ID_1609	16	0.00	0.04	0.24	0.31	0.47	0.28	-0.22
MTREX	ID_1610	10	0.00	-0.26	-0.91	-0.85	-1.20	-1.54	-0.94
LBP	ID_1611	18	0.00	-2.16	1.86	2.49	2.93	3.41	2.97
CELSR1	ID_1612	44	0.00	0.46	-0.54	-0.25	-1.93	-5.70	-2.56
FLI1	ID_1613	12	0.00	-1.07	-0.85	-0.55	-2.90	-3.54	-1.67
STARD13	ID_1614	30	0.00	0.35	1.05	0.60	-0.33	-0.81	1.97
CAMK1G	ID_1615	49	0.00	1.76	2.78	2.99	2.81	2.53	2.97
UTP25	ID_1616	10	0.00	-0.24	-0.25	-0.17	-0.34	-0.92	-0.72
SYT14	ID_1618	44	0.00	1.14	1.08	0.92	-0.26	-2.50	0.58
H2-M3	ID_1619	22	0.00	0.16	-0.60	-1.60	0.47	1.73	1.97
LONRF3	ID_1620	23	0.00	0.37	-0.96	-0.45	-0.89	0.88	1.97
ATP5F1E	ID_1621	48	0.00	0.17	0.20	0.16	0.39	0.37	-0.15
NELFCD	ID_1622	10	0.00	-0.43	-0.32	-0.62	-0.67	-1.20	-0.61
CTSZ	ID_1623	26	0.00	-0.17	-0.30	0.08	0.37	-0.40	0.11
PRELID3B	ID_1624	10	0.00	-0.08	-0.44	-0.27	-0.41	-0.49	-0.78
SERTAD4	ID_1625	41	0.00	0.59	0.94	1.52	1.28	-0.46	0.59
UBE2A	ID_1627	48	0.00	0.27	0.26	0.23	0.64	0.75	0.23
SLC25A5	ID_1628	2	0.00	-0.38	-0.91	-1.12	-0.92	-0.50	-0.95
PPDPF	ID_1630	16	0.00	0.48	0.25	0.57	0.58	-0.06	-0.68
KCNQ2	ID_1631	49	0.00	3.72	5.07	4.81	4.29	4.72	6.26
PLS3	ID_1634	25	0.00	-0.81	-1.64	-0.93	-1.44	0.61	0.78
MPPED2	ID_1635	49	0.00	2.77	2.87	2.56	2.24	1.37	1.40
NKAP	ID_1636	17	0.00	-0.10	1.05	0.85	0.07	-0.81	-0.26
NDUFA1	ID_1637	22	0.00	0.21	0.29	0.23	0.61	1.37	0.39
E2F3	ID_1639	21	0.00	-0.23	-1.04	-1.57	-1.77	-1.89	-0.66
CR1L	ID_1640	7	0.00	-0.34	-0.16	-0.02	-0.34	-0.30	-0.53
PPFIBP1	ID_1641	0	0.00	-0.77	-0.94	-0.70	-0.94	-0.69	-1.17
CD34	ID_1643	25	0.00	-0.24	-0.71	-0.44	-1.00	0.84	0.40
PLGRKT	ID_1644	44	0.00	0.93	1.21	1.08	0.65	-1.02	-0.62
CD274	ID_1645	28	0.00	0.42	0.40	1.72	-0.53	0.41	-¡Þ
GTF3A	ID_1647	16	0.00	0.06	0.07	0.16	0.32	-0.45	-0.50
MTIF3	ID_1648	48	0.00	0.16	0.24	0.35	0.31	0.51	-0.32
LNX2	ID_1649	10	0.00	-0.53	0.03	-0.36	-1.99	-1.46	-2.49
DYRK3	ID_1650	34	0.00	0.20	-0.02	0.58	0.24	0.61	-0.52
MAPKAPK2	ID_1651	10	0.00	-0.16	-0.81	-0.97	-1.31	-2.01	-1.64
LAMP2	ID_1652	20	0.00	-0.04	-0.62	-0.61	-0.47	-0.48	-0.45
ATXN10	ID_1653	41	0.00	0.49	0.97	1.01	0.77	0.38	0.49
FOXRED2	ID_1654	49	0.00	1.23	1.45	1.91	1.68	1.10	1.59
EIF3D	ID_1655	10	0.00	-0.37	-0.32	-0.28	-0.38	-1.35	-1.31
H3F3B	ID_1656	44	0.00	0.61	0.66	0.51	0.34	-1.94	-1.91
NUP50	ID_1657	10	0.00	-0.31	-0.73	-1.04	-1.71	-1.91	-1.52
PHF21B	ID_1658	10	0.00	1.38	0.44	-0.09	-1.85	-3.28	-2.40
IFT27	ID_1660	41	0.00	-0.00	0.09	0.39	0.45	-0.11	-0.24
PACSIN2	ID_1661	11	0.00	-0.75	-0.47	-1.40	-1.60	0.05	0.12
TTLL12	ID_1662	17	0.00	-0.45	0.41	-0.16	-0.28	-2.06	-1.58
SCUBE1	ID_1664	12	0.00	-1.56	-1.07	-0.72	-1.80	-0.86	-0.51
TOX4	ID_1665	41	0.00	0.16	0.43	0.54	0.15	0.07	0.24
MRPS18C	ID_1666	10	0.00	-0.32	-0.72	-0.73	-0.57	-0.78	-1.04
SULF1	ID_1667	10	0.00	-0.68	-0.89	-1.52	-1.94	-3.10	-2.45
SRSF6	ID_1668	10	0.00	-0.06	-0.57	-0.63	-0.89	-2.65	-1.92
PLCG1	ID_1669	44	0.00	0.60	0.49	0.71	-0.10	-1.07	-0.27
KCTD2	ID_1670	39	0.00	0.43	0.75	0.88	0.92	1.64	1.44
KCTD5	ID_1672	16	0.00	0.39	0.28	0.54	0.63	-0.89	-1.50
ETAA1	ID_1674	10	0.00	-0.28	-1.51	-1.36	-1.63	-2.87	-2.64
MATN4	ID_1675	39	0.00	-0.16	3.57	3.72	4.64	5.11	5.21
SDC4	ID_1681	39	0.00	-1.07	-0.60	-0.26	0.03	2.13	3.17
IL13RA1	ID_1683	41	0.00	0.01	0.86	0.99	0.38	0.22	0.14
NBR1	ID_1684	45	0.00	0.63	0.59	0.57	0.19	0.10	0.68
CYTH1	ID_1685	49	0.00	1.97	2.44	2.78	2.23	2.57	3.15
RND3	ID_1686	10	0.00	1.37	0.63	-0.15	-1.23	-3.41	-3.00
BRCA1	ID_1687	10	0.00	-0.72	-2.59	-2.89	-3.34	-3.26	-3.22
CNTNAP1	ID_1689	39	0.00	0.42	3.65	3.31	3.87	6.53	7.84
NT5C3B	ID_1690	16	0.00	-0.24	-0.09	-0.21	0.26	-0.11	-0.70
COA3	ID_1691	18	0.00	0.06	0.45	0.56	0.71	0.98	0.29
MED24	ID_1694	30	0.00	0.23	0.57	0.21	0.16	0.25	0.99
EXOSC10	ID_1696	17	0.00	-0.12	-0.06	0.02	-0.05	-1.21	-0.86
VPS53	ID_1698	49	0.00	0.98	1.45	1.44	1.23	1.35	1.13
TAOK1	ID_1699	44	0.00	0.46	-0.05	0.10	-0.75	-2.65	-0.36
DNTTIP1	ID_1700	16	0.00	0.15	0.21	0.10	0.25	-0.11	-0.53
ACOT8	ID_1702	6	0.00	-0.09	0.44	-0.06	-0.12	0.92	0.53
MPP2	ID_1706	39	0.00	1.10	1.87	1.33	1.68	2.70	3.32
VTN	ID_1708	49	0.00	0.16	1.08	0.61	0.69	0.48	0.69
NLK	ID_1709	30	0.00	0.93	0.92	0.70	-0.21	0.76	2.05
TRAF4	ID_1710	44	0.00	0.84	0.62	0.86	0.58	-1.83	-2.16
ALDOC	ID_1711	39	0.00	4.29	5.87	6.33	7.32	8.96	8.92
STAC2	ID_1712	39	0.00	1.71	4.37	4.14	3.93	5.84	7.19
RPL19	ID_1713	10	0.00	-0.43	-1.08	-0.78	-0.56	-1.11	-1.84
NEK8	ID_1714	3	0.00	-0.79	-0.69	0.12	-0.81	-1.68	-0.80
CACNB4	ID_1715	39	0.00	3.30	4.74	4.49	3.98	6.78	7.67
ARL5B	ID_1717	10	0.00	0.18	-0.11	-0.79	-1.91	-2.56	-2.11
ZFP207	ID_1718	10	0.00	-0.10	-1.00	-0.95	-1.29	-2.01	-1.65
PSMD11	ID_1719	10	0.00	0.15	-0.21	-0.50	-1.33	-1.60	-0.86
C1QTNF1	ID_1720	49	0.00	1.95	3.46	3.34	2.80	0.41	2.38
PIPOX	ID_1721	21	0.00	-0.16	-0.90	-2.03	-0.37	-2.34	-2.20
TIMP2	ID_1722	39	0.00	0.17	1.53	1.73	2.01	2.10	1.94
ZC3H18	ID_1723	10	0.00	-0.15	-0.49	-0.51	-0.78	-1.77	-1.42
TOP2B	ID_1724	10	0.00	0.56	0.41	0.10	-0.47	-2.10	-1.71
RARB	ID_1725	7	0.00	-0.82	-0.26	-0.04	-0.05	-0.16	-0.65
IGFBP4	ID_1726	12	0.00	-0.50	-0.78	-0.60	-1.13	-0.74	-0.21
SUZ12	ID_1728	10	0.00	-0.01	-0.61	-0.95	-1.70	-2.42	-1.45
ATAD5	ID_1729	10	0.00	-0.36	-1.43	-1.66	-2.81	-3.87	-2.58
CRLF3	ID_1730	12	0.00	-0.38	-1.20	-1.11	-1.45	-1.40	-0.68
TNFAIP1	ID_1732	17	0.00	-0.20	-0.22	-0.15	-0.10	-1.17	-0.83
ABR	ID_1733	49	0.00	2.10	2.98	2.97	2.80	3.33	4.11
RAB11FIP4	ID_1734	39	0.00	1.06	2.12	1.53	0.97	2.30	3.26
CD40	ID_1735	43	0.00	-0.05	-0.60	-2.18	-3.11	-1.17	-1.62
SLC35C2	ID_1736	39	0.00	0.32	0.32	0.27	0.69	0.69	0.63
ZFP334	ID_1737	10	0.00	0.11	0.09	-0.88	-1.10	-3.48	-2.02
ELMO2	ID_1738	39	0.00	0.50	0.96	1.02	0.72	1.45	2.10
WSB1	ID_1739	44	0.00	0.28	0.21	0.19	-0.65	-2.67	-1.41
TTPAL	ID_1740	40	0.00	0.35	0.82	0.65	0.26	0.41	0.73
RHOT1	ID_1741	49	0.00	0.49	0.60	0.55	0.52	0.29	0.69
RHBDL3	ID_1742	43	0.00	1.35	0.54	-0.04	-0.75	0.12	0.05
ADA	ID_1743	10	0.00	-0.72	-2.10	-1.52	-0.71	-3.68	-2.54
SERINC3	ID_1744	39	0.00	-0.24	0.30	0.21	0.18	1.24	1.35
THA1	ID_1745	39	0.00	-0.33	-0.19	0.82	1.47	0.83	1.60
PGS1	ID_1746	39	0.00	0.21	0.63	0.73	1.19	1.95	1.49
BIRC5	ID_1747	10	0.00	-1.05	-2.85	-2.98	-4.10	-6.90	-6.61
AFMID	ID_1748	6	0.00	-1.63	-0.82	-1.15	-1.00	-0.15	-0.87
PIGT	ID_1750	49	0.00	0.67	1.98	1.50	2.11	1.13	1.61
WFDC2	ID_1751	21	0.00	-1.51	-1.81	-3.81	-2.15	-3.21	-3.24
ETV4	ID_1752	8	0.00	-1.90	-0.60	-0.80	0.63	-0.54	-0.85
DBNDD2	ID_1754	39	0.00	0.28	0.70	0.96	1.94	5.86	5.36
MMP9	ID_1755	41	0.00	3.01	5.79	5.31	3.64	3.00	1.97
SLC12A5	ID_1756	39	0.00	2.59	5.49	5.30	5.72	6.76	7.31
GHDC	ID_1757	17	0.00	-0.50	0.47	0.80	0.75	-0.84	-0.70
PLTP	ID_1758	49	0.00	0.34	1.48	0.96	1.05	0.96	1.25
SLC12A7	ID_1759	10	0.00	-0.36	-0.99	-1.47	-2.50	-4.79	-2.23
CTSA	ID_1760	39	0.00	-0.15	0.50	0.61	0.78	1.49	1.15
ZSWIM1	ID_1761	49	0.00	1.25	1.85	1.32	1.10	1.30	2.02
SLC12A4	ID_1762	19	0.00	-0.94	-0.38	0.62	0.47	0.10	1.08
MYO1C	ID_1764	19	0.00	-1.05	-0.29	0.37	0.22	-0.28	-0.09
CRK	ID_1765	12	0.00	-0.05	-0.52	-0.50	-0.76	-0.56	-0.50
COX7C	ID_1766	22	0.00	0.00	-0.40	-0.34	0.26	0.86	-0.24
PITPNA	ID_1767	39	0.00	0.57	0.91	1.07	0.97	1.52	1.11
RETREG3	ID_1769	48	0.00	0.21	0.39	0.17	0.45	0.58	0.22
JPH2	ID_1770	1	0.00	-1.16	-0.60	-0.28	1.38	-1.00	-1.03
DHX58	ID_1771	26	0.00	-0.58	-0.02	0.40	0.47	-1.59	-¡Þ
RAB5A	ID_1772	39	0.00	0.62	0.96	0.91	0.95	1.46	1.27
NKIRAS2	ID_1773	16	0.00	0.60	0.82	0.46	0.81	-1.31	-2.19
PPP2R5C	ID_1774	39	0.00	0.36	0.60	0.75	0.56	0.66	1.20
IFT52	ID_1775	10	0.00	0.14	-0.53	-0.60	-1.17	-0.75	-1.15
MYBL2	ID_1776	10	0.00	-0.56	-2.37	-3.22	-3.47	-6.53	-4.98
EYA2	ID_1778	16	0.00	-1.10	-0.94	-0.43	-0.86	-2.00	-3.62
B4GALT5	ID_1780	49	0.00	0.75	1.44	1.55	1.43	1.13	1.35
GDAP1L1	ID_1781	49	0.00	3.40	4.35	4.39	4.38	3.55	3.54
PTGIS	ID_1783	10	0.00	-1.28	-1.36	-0.77	-1.76	-2.06	-3.97
CADPS2	ID_1784	39	0.00	0.78	2.34	1.87	2.06	4.00	4.36
DDX27	ID_1785	10	0.00	-0.58	-0.60	-0.54	-1.02	-1.22	-0.98
CYTH3	ID_1786	49	0.00	0.03	1.11	1.07	0.95	0.67	0.87
CYTH4	ID_1787	39	0.00	0.29	0.94	0.94	0.82	1.41	2.36
RAC3	ID_1788	41	0.00	1.39	3.35	3.92	4.55	1.08	-0.90
RRP7A	ID_1789	18	0.00	0.26	0.33	0.55	1.10	0.96	0.38
CYB5R3	ID_1790	17	0.00	-0.32	0.43	-0.09	-0.47	-1.60	-0.88
INTS2	ID_1791	10	0.00	-0.20	-0.56	-0.59	-1.19	-1.70	-1.15
MED13L	ID_1792	27	0.00	0.84	1.30	0.85	-0.29	-0.52	1.72
H2BC4	ID_1793	39	0.00	0.99	0.46	1.08	1.03	3.30	3.10
BAIAP2L2	ID_1794	42	0.00		-0.19	0.82	2.47	2.15	0.97
